"Gebiets_ID";"Gebietsname";"Stadtbezirk";"Koordinaten_Lat";"Koordinaten_Lon";"Erfassungsdatum";"Artengruppe";"Artname";"Bestandszahl";"Gefährdungsstatus";"Flächentyp";"Fläche_ha";"Pflegemaßnahmen_Aktiv";"Letzte_Pflege";"Beteiligte_Freiwillige";"Kommentar"
"BIO-001";"Stadtpark Mitte";"Innenstadt";"50.9375";"6.9603";2025-05-14;"Vogel";"Amsel (Turdus merula)";48;"Nicht gefährdet";"Parkanlage";"12.5";false;2025-04-20;15;"Brutkästen erfolgreich angenommen"
"BIO-002";"Uferbereich Nord";"Nordviertel";"50.9502";"6.9731";2025-06-03;"Amphibie";"Grasfrosch (Rana temporaria)";132;"Nicht gefährdet";"Gewässerrand";"3.1";true;2024-09-15;4;"Neuer Laichplatz entdeckt"
"BIO-003";"Bürgerwald West";"Westend";"50.9284";"6.9419";2025-05-22;"Säugetier";"Feldhase (Lepus europaeus)";12;"Vorwarnstufe";"Waldfläche";"48.0";false;2025-05-10;21;"Monitoring durch Schulprojekt"
"BIO-004";"Schulgarten Süd";"Südstadt";"50.9212";"6.9485";2025-07-02;"Insekt";"Honigbiene (Apis mellifera)";385;"Nicht gefährdet";"Grünfläche";"0.8";true;2025-06-25;9;"Blühflächenprojekt erfolgreich"
"BIO-005";"Ostpark Biotop";"Ostpark";"50.9389";"6.9787";2025-06-17;"Pflanze";"Knabenkraut (Dactylorhiza fuchsii)";67;"Geschützt";"Feuchtgebiet";"2.4";false;2025-05-30;6;"Neuer Bestand kartiert"
"BIO-006";"Flussufer Grünstreifen";"Nordviertel";"50.9518";"6.9750";2025-07-12;"Vogel";"Eisvogel (Alcedo atthis)";3;"Stark gefährdet";"Uferzone";"1.2";true;2024-08-05;2;"Bruthöhle beschädigt"
"BIO-007";"Bahndamm Süd";"Südstadt";"50.9174";"6.9528";2025-05-10;"Reptil";"Zauneidechse (Lacerta agilis)";25;"Geschützt";"Böschung";"1.6";false;2025-04-29;8;"Habitat gepflegt"
"BIO-008";"Innenhof Rathaus";"Innenstadt";"50.9360";"6.9612";2025-04-18;"Pflanze";"Lavendel (Lavandula angustifolia)";120;"Nicht gefährdet";"Begrünte Fläche";"0.3";true;2025-04-10;3;"Urban Gardening Projekt"
"BIO-009";"Alte Kiesgrube";"Westend";"50.9298";"6.9371";2025-06-05;"Vogel";"Lachmöwe (Chroicocephalus ridibundus)";76;"Nicht gefährdet";"Stillgewässer";"5.7";false;2024-10-02;5;"Wiederansiedlung erfolgreich"
"BIO-010";"Rheinaue Ost";"Ostpark";"50.9410";"6.9825";2025-07-19;"Pflanze";"Schilfrohr (Phragmites australis)";540;"Nicht gefährdet";"Feuchtgebiet";"15.2";true;2025-07-05;18;"Ausbreitung stabil"
